证券代码,证券名称,持仓,篮子配置数,补买补卖
000001,平安银行,22300.0,23800.0,1500.0
000012,南  玻Ａ,4200.0,4200.0,0.0
000060,中金岭南,7000.0,7000.0,0.0
000069,华侨城Ａ,36200.0,39200.0,3000.0
000100,TCL 集团,22400.0,22400.0,0.0
000157,中联重科,36400.0,36400.0,0.0
000158,常山北明,1300.0,2800.0,1500.0
000166,申万宏源,54600.0,54600.0,0.0
000333,美的集团,19600.0,19600.0,0.0
000338,潍柴动力,28100.0,26600.0,-1500.0
000400,许继电气,2900.0,1400.0,-1500.0
000401,冀东水泥,1300.0,2800.0,1500.0
000402,金 融 街,22200.0,25200.0,3000.0
000413,东旭光电,8500.0,7000.0,-1500.0
000415,渤海租赁,7000.0,7000.0,0.0
000425,徐工机械,33600.0,33600.0,0.0
000519,中兵红箭,1400.0,1400.0,0.0
000547,航天发展,1400.0,1400.0,0.0
000553,安道麦A,1500.0,0.0,-1500.0
000561,烽火电子,100.0,0.0,-100.0
000568,泸州老窖,5610.0,5600.0,-10.0
000581,威孚高科,4200.0,4200.0,0.0
000596,古井贡酒,1500.0,0.0,-1500.0
000612,焦作万方,2800.0,2800.0,0.0
000623,吉林敖东,4100.0,5600.0,1500.0
000625,长安汽车,8400.0,8400.0,0.0
000627,天茂集团,26500.0,28000.0,1500.0
000629,攀钢钒钛,18200.0,18200.0,0.0
000630,铜陵有色,43400.0,43400.0,0.0
000651,格力电器,19637.0,19600.0,-37.0
000656,金科股份,8200.0,11200.0,3000.0
000662,天夏智慧,1500.0,0.0,-1500.0
000671,阳 光 城,9600.0,12600.0,3000.0
000686,东北证券,1400.0,1400.0,0.0
000703,恒逸石化,4200.0,4200.0,0.0
000712,锦龙股份,1400.0,1400.0,0.0
000750,国海证券,2800.0,2800.0,0.0
000758,中色股份,0.0,2800.0,2800.0
000761,本钢板材,4200.0,4200.0,0.0
000762,西藏矿业,1400.0,1400.0,0.0
000768,中航飞机,1300.0,2800.0,1500.0
000776,广发证券,16800.0,16800.0,0.0
000778,新兴铸管,7000.0,7000.0,0.0
000783,长江证券,7000.0,7000.0,0.0
000825,太钢不锈,4200.0,4200.0,0.0
000830,鲁西化工,1400.0,1400.0,0.0
000858,五 粮 液,3700.0,2800.0,-900.0
000876,新 希 望,14000.0,14000.0,0.0
000877,天山股份,2800.0,2800.0,0.0
000898,鞍钢股份,7000.0,7000.0,0.0
000938,紫光股份,1200.0,4200.0,3000.0
000948,南天信息,100.0,0.0,-100.0
000959,首钢股份,6900.0,8400.0,1500.0
000960,锡业股份,1400.0,1400.0,0.0
000963,华东医药,5620.0,5600.0,-20.0
000969,安泰科技,2900.0,1400.0,-1500.0
000977,浪潮信息,1400.0,1400.0,0.0
000997,新 大 陆,1400.0,1400.0,0.0
001965,招商公路,5500.0,7000.0,1500.0
001979,招商蛇口,5600.0,5600.0,0.0
002001,新 和 成,5600.0,5600.0,0.0
002004,华邦健康,1400.0,1400.0,0.0
002007,华兰生物,4200.0,4200.0,0.0
002010,传化智联,5700.0,4200.0,-1500.0
002013,中航机电,1300.0,2800.0,1500.0
002024,苏宁易购,14000.0,14000.0,0.0
002027,分众传媒,19600.0,19600.0,0.0
002044,美年健康,4100.0,5600.0,1500.0
002064,华峰氨纶,1400.0,1400.0,0.0
002065,东华软件,19900.0,21000.0,1100.0
002085,万丰奥威,11200.0,11200.0,0.0
002110,三钢闽光,1400.0,1400.0,0.0
002120,韵达股份,1400.0,1400.0,0.0
002142,宁波银行,2800.0,2800.0,0.0
002146,荣盛发展,16700.0,18200.0,1500.0
002152,广电运通,1300.0,2800.0,1500.0
002153,石基信息,1300.0,2800.0,1500.0
002179,中航光电,2800.0,2800.0,0.0
002183,怡 亚 通,4200.0,4200.0,0.0
002195,二三四五,400.0,0.0,-400.0
002202,金风科技,9800.0,9800.0,0.0
002214,大立科技,100.0,0.0,-100.0
002221,东华能源,2900.0,1400.0,-1500.0
002225,濮耐股份,100.0,0.0,-100.0
002230,科大讯飞,4300.0,2800.0,-1500.0
002233,塔牌集团,1300.0,2800.0,1500.0
002247,聚力文化,100.0,0.0,-100.0
002251,步 步 高,1300.0,2800.0,1500.0
002252,上海莱士,9800.0,9800.0,0.0
002261,拓维信息,100.0,0.0,-100.0
002271,东方雨虹,2800.0,2800.0,0.0
002277,友阿股份,2700.0,4200.0,1500.0
002279,久其软件,100.0,0.0,-100.0
002280,联络互动,5600.0,5600.0,0.0
002294,信立泰,1400.0,1400.0,0.0
002302,西部建设,1300.0,2800.0,1500.0
002311,海大集团,2800.0,2800.0,0.0
002312,三泰控股,100.0,0.0,-100.0
002344,海宁皮城,4300.0,2800.0,-1500.0
002345,潮宏基,1400.0,1400.0,0.0
002368,太极股份,109.0,0.0,-109.0
002380,科远智慧,100.0,0.0,-100.0
002399,海普瑞,1400.0,1400.0,0.0
002410,广联达,2800.0,2800.0,0.0
002415,海康威视,40700.0,39200.0,-1500.0
002422,科伦药业,2800.0,2800.0,0.0
002424,贵州百灵,1500.0,0.0,-1500.0
002440,闰土股份,1500.0,0.0,-1500.0
002456,欧菲光,1300.0,2800.0,1500.0
002460,赣锋锂业,4200.0,4200.0,0.0
002466,天齐锂业,1400.0,1400.0,0.0
002474,榕基软件,100.0,0.0,-100.0
002508,老板电器,1400.0,1400.0,0.0
002555,三七互娱,11400.0,8400.0,-3000.0
002588,史丹利,1400.0,1400.0,0.0
002589,瑞康医药,1300.0,2800.0,1500.0
002601,龙蟒佰利,1400.0,1400.0,0.0
002609,捷顺科技,100.0,0.0,-100.0
002610,爱康科技,100.0,0.0,-100.0
002613,北玻股份,100.0,0.0,-100.0
002623,亚玛顿,100.0,0.0,-100.0
002624,完美世界,5600.0,5600.0,0.0
002625,光启技术,1400.0,1400.0,0.0
002635,安洁科技,1400.0,1400.0,0.0
002641,永高股份,100.0,0.0,-100.0
002652,扬子新材,100.0,0.0,-100.0
002657,中科金财,1400.0,1400.0,0.0
002665,首航节能,4200.0,4200.0,0.0
002671,龙泉股份,100.0,0.0,-100.0
002714,牧原股份,1400.0,1400.0,0.0
002736,国信证券,16800.0,16800.0,0.0
002742,三圣股份,100.0,0.0,-100.0
002771,真视通,100.0,0.0,-100.0
002773,康弘药业,1400.0,1400.0,0.0
002841,视源股份,4276.0,4200.0,-76.0
002926,华西证券,2900.0,1400.0,-1500.0
002933,新兴装备,100.0,0.0,-100.0
002939,长城证券,1400.0,1400.0,0.0
002945,华林证券,1500.0,0.0,-1500.0
300002,神州泰岳,5600.0,5600.0,0.0
300003,乐普医疗,5700.0,4200.0,-1500.0
300015,爱尔眼科,5600.0,5600.0,0.0
300017,网宿科技,9900.0,8400.0,-1500.0
300024,机器人,1400.0,1400.0,0.0
300045,华力创通,100.0,0.0,-100.0
300064,豫金刚石,100.0,0.0,-100.0
300072,三聚环保,5600.0,5600.0,0.0
300074,华平股份,100.0,0.0,-100.0
300076,GQY视讯,100.0,0.0,-100.0
300122,智飞生物,1400.0,1400.0,0.0
300136,信维通信,22500.0,21000.0,-1500.0
300142,沃森生物,4200.0,4200.0,0.0
