证券代码,证券名称,持仓,篮子配置数,补买补卖
300144,宋城演艺,1400.0,1400.0,0.0
300146,汤臣倍健,4272.0,4200.0,-72.0
300196,长海股份,100.0,0.0,-100.0
300244,迪安诊断,1400.0,1400.0,0.0
300251,光线传媒,1300.0,2800.0,1500.0
300274,阳光电源,1400.0,1400.0,0.0
300277,海联讯,100.0,0.0,-100.0
300296,利亚德,6900.0,8400.0,1500.0
300393,中来股份,100.0,0.0,-100.0
300413,芒果超媒,1400.0,1400.0,0.0
300498,温氏股份,15400.0,15400.0,0.0
300513,恒实科技,100.0,0.0,-100.0
300552,万集科技,100.0,0.0,-100.0
300608,思特奇,100.0,0.0,-100.0
300696,爱乐达,100.0,0.0,-100.0
300719,安达维尔,100.0,0.0,-100.0
600000,浦发银行,58900.0,57400.0,-1500.0
600004,白云机场,2900.0,1400.0,-1500.0
600009,上海机场,1400.0,1400.0,0.0
600010,包钢股份,46100.0,47600.0,1500.0
600015,华夏银行,49000.0,49000.0,0.0
600016,民生银行,126072.0,126000.0,-72.0
600017,日照港,11300.0,9800.0,-1500.0
600018,上港集团,12000.0,11200.0,-800.0
600019,宝钢股份,19600.0,19600.0,0.0
600022,山东钢铁,12700.0,11200.0,-1500.0
600023,浙能电力,15400.0,15400.0,0.0
600025,华能水电,26700.0,25200.0,-1500.0
600026,中远海能,2800.0,2800.0,0.0
600027,华电国际,20900.0,22400.0,1500.0
600028,中国石化,43500.0,40600.0,-2900.0
600029,南方航空,11200.0,11200.0,0.0
600030,中信证券,36500.0,35000.0,-1500.0
600031,三一重工,29400.0,29400.0,0.0
600036,招商银行,32206.0,32200.0,-6.0
600048,保利地产,12500.0,14000.0,1500.0
600058,五矿发展,1400.0,1400.0,0.0
600061,国投资本,14000.0,14000.0,0.0
600066,宇通客车,6900.0,8400.0,1500.0
600068,葛洲坝,19700.0,18200.0,-1500.0
600085,同仁堂,1400.0,1400.0,0.0
600089,特变电工,18200.0,18200.0,0.0
600100,同方股份,19000.0,19600.0,600.0
600104,上汽集团,8400.0,8400.0,0.0
600109,国金证券,14000.0,14000.0,0.0
600111,北方稀土,2800.0,2800.0,0.0
600115,东方航空,7000.0,7000.0,0.0
600118,中国卫星,1500.0,0.0,-1500.0
600122,宏图高科,5600.0,5600.0,0.0
600125,铁龙物流,2800.0,2800.0,0.0
600126,杭钢股份,1400.0,1400.0,0.0
600143,金发科技,1400.0,1400.0,0.0
600151,航天机电,4300.0,2800.0,-1500.0
600153,建发股份,9700.0,11200.0,1500.0
600160,巨化股份,1400.0,1400.0,0.0
600170,上海建工,20900.0,22400.0,1500.0
600176,中国巨石,4200.0,4200.0,0.0
600177,雅戈尔,5600.0,5600.0,0.0
600188,兖州煤业,12600.0,12600.0,0.0
600196,复星医药,7000.0,7000.0,0.0
600219,南山铝业,32200.0,32200.0,0.0
600221,海航控股,75700.0,74200.0,-1500.0
600233,圆通速递,1400.0,1400.0,0.0
600256,广汇能源,1300.0,2800.0,1500.0
600271,航天信息,2900.0,1400.0,-1500.0
600276,恒瑞医药,11200.0,11200.0,0.0
600277,亿利洁能,1500.0,0.0,-1500.0
600282,南钢股份,4300.0,2800.0,-1500.0
600290,华仪电气,100.0,0.0,-100.0
600291,西水股份,12600.0,12600.0,0.0
600297,广汇汽车,15400.0,15400.0,0.0
600299,安迪苏,1400.0,1400.0,0.0
600307,酒钢宏兴,8300.0,9800.0,1500.0
600309,万华化学,7000.0,7000.0,0.0
600312,平高电气,2800.0,2800.0,0.0
600317,营口港,4200.0,4200.0,0.0
600332,白云山,2800.0,2800.0,0.0
600338,西藏珠峰,1480.0,1400.0,-80.0
600340,华夏幸福,9700.0,11200.0,1500.0
600346,恒力石化,18200.0,18200.0,0.0
600350,山东高速,7100.0,5600.0,-1500.0
600352,浙江龙盛,6900.0,8400.0,1500.0
600362,江西铜业,4200.0,4200.0,0.0
600366,宁波韵升,1400.0,1400.0,0.0
600372,中航电子,1400.0,1400.0,0.0
600376,首开股份,16700.0,18200.0,1500.0
600383,金地集团,19400.0,22400.0,3000.0
600390,五矿资本,12600.0,12600.0,0.0
600392,盛和资源,1400.0,1400.0,0.0
600398,海澜之家,7000.0,7000.0,0.0
600406,国电南瑞,2700.0,4200.0,1500.0
600416,湘电股份,1400.0,1400.0,0.0
600422,昆药集团,100.0,0.0,-100.0
600425,青松建化,100.0,0.0,-100.0
600428,中远海特,5600.0,5600.0,0.0
600435,北方导航,1400.0,1400.0,0.0
600436,片仔癀,2800.0,2800.0,0.0
600438,通威股份,7194.0,5600.0,-1594.0
600482,中国动力,1300.0,2800.0,1500.0
600487,亨通光电,1300.0,2800.0,1500.0
600489,中金黄金,4200.0,4200.0,0.0
600500,中化国际,1400.0,1400.0,0.0
600511,国药股份,1400.0,1400.0,0.0
600519,贵州茅台,1300.0,2800.0,1500.0
600522,中天科技,2800.0,2800.0,0.0
600535,天士力,1400.0,1400.0,0.0
600550,保变电气,100.0,0.0,-100.0
600566,济川药业,1400.0,1400.0,0.0
600570,恒生电子,2900.0,1400.0,-1500.0
600572,康恩贝,100.0,0.0,-100.0
600575,淮河能源,0.0,4200.0,4200.0
600577,精达股份,100.0,0.0,-100.0
600583,海油工程,4200.0,4200.0,0.0
600585,海螺水泥,8400.0,8400.0,0.0
600588,用友网络,4400.0,1400.0,-3000.0
600600,青岛啤酒,2800.0,2800.0,0.0
600606,绿地控股,33400.0,36400.0,3000.0
600611,大众交通,8400.0,8400.0,0.0
600618,氯碱化工,1500.0,0.0,-1500.0
600621,华鑫股份,1400.0,1400.0,0.0
600660,福耀玻璃,7000.0,7000.0,0.0
600674,川投能源,15400.0,15400.0,0.0
600682,南京新百,1400.0,1400.0,0.0
600685,中船防务,100.0,0.0,-100.0
600688,上海石化,2800.0,2800.0,0.0
600690,海尔智家,16800.0,16800.0,0.0
600704,物产中大,5500.0,7000.0,1500.0
600705,中航资本,22600.0,19600.0,-3000.0
600717,天津港,2800.0,2800.0,0.0
600718,东软集团,1400.0,1400.0,0.0
600733,北汽蓝谷,1400.0,1400.0,0.0
600739,辽宁成大,5600.0,5600.0,0.0
600741,华域汽车,4200.0,4200.0,0.0
600750,江中药业,1400.0,1400.0,0.0
600751,海航科技,2700.0,4200.0,1500.0
600755,厦门国贸,1400.0,1400.0,0.0
600760,中航沈飞,1200.0,4200.0,3000.0
600765,中航重机,1400.0,1400.0,0.0
600777,新潮能源,4300.0,2800.0,-1500.0
600787,中储股份,2800.0,2800.0,0.0
600795,国电电力,36500.0,35000.0,-1500.0
600801,华新水泥,1500.0,0.0,-1500.0
600808,马钢股份,2800.0,2800.0,0.0
600809,山西汾酒,4254.0,4200.0,-54.0
600811,东方集团,4300.0,2800.0,-1500.0
600816,安信信托,8300.0,9800.0,1500.0
600820,隧道股份,2700.0,4200.0,1500.0
600827,百联股份,1400.0,1400.0,0.0
600837,海通证券,23800.0,23800.0,0.0
600862,中航高科,7020.0,7000.0,-20.0
600864,哈投股份,2800.0,2800.0,0.0
600867,通化东宝,2800.0,2800.0,0.0
600875,东方电气,1400.0,1400.0,0.0
600879,航天电子,1200.0,4200.0,3000.0
600886,国投电力,7000.0,7000.0,0.0
600893,航发动力,2800.0,2800.0,0.0
600900,长江电力,26600.0,26600.0,0.0
600909,华安证券,5600.0,5600.0,0.0
600919,江苏银行,47600.0,47600.0,0.0
600926,杭州银行,11200.0,11200.0,0.0
600967,内蒙一机,1400.0,1400.0,0.0
600998,九州通,2900.0,1400.0,-1500.0
600999,招商证券,16800.0,16800.0,0.0
601000,唐山港,11100.0,12600.0,1500.0
601006,大秦铁路,28000.0,28000.0,0.0
601009,南京银行,16800.0,16800.0,0.0
601012,隆基股份,6900.0,8400.0,1500.0
601018,宁波港,12500.0,14000.0,1500.0
601020,华钰矿业,1400.0,1400.0,0.0
601066,中信建投,1400.0,1400.0,0.0
601088,中国神华,7000.0,7000.0,0.0
601099,太平洋,8400.0,8400.0,0.0
601111,中国国航,14100.0,12600.0,-1500.0
601138,工业富联,4100.0,5600.0,1500.0
601162,天风证券,1400.0,1400.0,0.0
601166,兴业银行,65900.0,64400.0,-1500.0
601168,西部矿业,1300.0,2800.0,1500.0
601169,北京银行,71377.0,72800.0,1423.0
601179,中国西电,2700.0,4200.0,1500.0
601186,中国铁建,22400.0,22400.0,0.0
601198,东兴证券,12600.0,12600.0,0.0
601211,国泰君安,22400.0,22400.0,0.0
601216,君正集团,11200.0,11200.0,0.0
601225,陕西煤业,16800.0,16800.0,0.0
601228,广州港,1400.0,1400.0,0.0
601229,上海银行,19500.0,21000.0,1500.0
601233,桐昆股份,1400.0,1400.0,0.0
601238,广汽集团,4200.0,4200.0,0.0
601288,农业银行,134400.0,134400.0,0.0
601298,青岛港,1300.0,2800.0,1500.0
601318,中国平安,44933.0,44800.0,-133.0
601319,中国人保,5700.0,4200.0,-1500.0
601328,交通银行,121800.0,121800.0,0.0
601333,广深铁路,12600.0,12600.0,0.0
601336,新华保险,5600.0,5600.0,0.0
601360,三六零,1400.0,1400.0,0.0
601377,兴业证券,8400.0,8400.0,0.0
601390,中国中铁,36400.0,36400.0,0.0
601398,工商银行,43400.0,43400.0,0.0
601555,东吴证券,11100.0,12600.0,1500.0
601577,长沙银行,1400.0,1400.0,0.0
601600,中国铝业,29400.0,29400.0,0.0
601607,上海医药,5700.0,4200.0,-1500.0
601618,中国中冶,35100.0,33600.0,-1500.0
601633,长城汽车,1400.0,1400.0,0.0
601668,中国建筑,92500.0,91000.0,-1500.0
601688,华泰证券,12500.0,14000.0,1500.0
601727,上海电气,9800.0,9800.0,0.0
601766,中国中车,26600.0,26600.0,0.0
601788,光大证券,4200.0,4200.0,0.0
601800,中国交建,12600.0,12600.0,0.0
601808,中海油服,1400.0,1400.0,0.0
601818,光大银行,48900.0,50400.0,1500.0
601828,美凯龙,2900.0,1400.0,-1500.0
601838,成都银行,14000.0,14000.0,0.0
601857,中国石油,11100.0,12600.0,1500.0
601866,中远海发,8500.0,7000.0,-1500.0
601872,招商轮船,1400.0,1400.0,0.0
601877,正泰电器,4200.0,4200.0,0.0
601878,浙商证券,5600.0,5600.0,0.0
601888,中国国旅,4200.0,4200.0,0.0
601898,中煤能源,5600.0,5600.0,0.0
601899,紫金矿业,37800.0,37800.0,0.0
601919,中远海控,8300.0,9800.0,1500.0
601933,永辉超市,8500.0,7000.0,-1500.0
601939,建设银行,12600.0,12600.0,0.0
601958,金钼股份,1400.0,1400.0,0.0
601985,中国核电,8400.0,8400.0,0.0
601988,中国银行,84100.0,82600.0,-1500.0
601989,中国重工,14100.0,12600.0,-1500.0
601992,金隅集团,12600.0,12600.0,0.0
601997,贵阳银行,14000.0,14000.0,0.0
601998,中信银行,32200.0,32200.0,0.0
603019,中科曙光,2800.0,2800.0,0.0
603077,和邦生物,2700.0,4200.0,1500.0
603156,养元饮品,1496.0,1400.0,-96.0
603160,汇顶科技,2800.0,2800.0,0.0
603225,新凤鸣,2800.0,2800.0,0.0
603260,合盛硅业,1420.0,1400.0,-20.0
603288,海天味业,1300.0,2800.0,1500.0
603568,伟明环保,2800.0,2800.0,0.0
603618,杭电股份,100.0,0.0,-100.0
603766,隆鑫通用,19500.0,21000.0,1500.0
603799,华友钴业,1400.0,1400.0,0.0
603858,步长制药,4200.0,4200.0,0.0
603883,老百姓,1400.0,1400.0,0.0
603885,吉祥航空,1400.0,1400.0,0.0
603993,洛阳钼业,37800.0,37800.0,0.0
