,value
2017-01-03 00:00:00+00:00,99119780.71000001
2017-01-04 00:00:00+00:00,99721282.56
2017-01-05 00:00:00+00:00,99741638.34
2017-01-06 00:00:00+00:00,99151322.31
2017-01-09 00:00:00+00:00,99554914.97
2017-01-10 00:00:00+00:00,99308509.62
2017-01-11 00:00:00+00:00,98787818.17
2017-01-12 00:00:00+00:00,98570047.89
2017-01-13 00:00:00+00:00,99113297.39
2017-01-16 00:00:00+00:00,100373092.57000001
2017-01-17 00:00:00+00:00,100038310.97
2017-01-18 00:00:00+00:00,100604411.78
2017-01-19 00:00:00+00:00,100268642.08
2017-01-20 00:00:00+00:00,100790705.07000001
2017-01-23 00:00:00+00:00,100787158.66
2017-01-24 00:00:00+00:00,101012533.61
2017-01-25 00:00:00+00:00,101282080.66
2017-01-26 00:00:00+00:00,101510930.66
2017-02-03 00:00:00+00:00,100478758.66
2017-02-06 00:00:00+00:00,100649534.98
2017-02-07 00:00:00+00:00,100373380.62
2017-02-08 00:00:00+00:00,100755143.62
2017-02-09 00:00:00+00:00,101118858.62
2017-02-10 00:00:00+00:00,101689323.62
2017-02-13 00:00:00+00:00,102166641.03
2017-02-14 00:00:00+00:00,101917924.03
2017-02-15 00:00:00+00:00,101861316.03
2017-02-16 00:00:00+00:00,102057565.03
2017-02-17 00:00:00+00:00,101453983.03
2017-02-20 00:00:00+00:00,102802287.03
2017-02-21 00:00:00+00:00,102921101.57000001
2017-02-22 00:00:00+00:00,102977108.58
2017-02-23 00:00:00+00:00,102514410.16
2017-02-24 00:00:00+00:00,102619999.37
2017-02-27 00:00:00+00:00,101790738.18
2017-02-28 00:00:00+00:00,101797181.0
2017-03-01 00:00:00+00:00,101849407.12
2017-03-02 00:00:00+00:00,101118926.12
2017-03-03 00:00:00+00:00,100785461.12
2017-03-06 00:00:00+00:00,100903169.12
2017-03-07 00:00:00+00:00,101177762.94
2017-03-08 00:00:00+00:00,101254215.57000001
2017-03-09 00:00:00+00:00,100759382.57000001
2017-03-10 00:00:00+00:00,100445165.57000001
2017-03-13 00:00:00+00:00,101117294.57000001
2017-03-14 00:00:00+00:00,101117779.99
2017-03-15 00:00:00+00:00,101220899.25
2017-03-16 00:00:00+00:00,101731257.25
2017-03-17 00:00:00+00:00,100776463.25
2017-03-20 00:00:00+00:00,100909533.25
2017-03-21 00:00:00+00:00,101212755.25
2017-03-22 00:00:00+00:00,100414539.25
2017-03-23 00:00:00+00:00,100796351.42
2017-03-24 00:00:00+00:00,101576716.33
2017-03-27 00:00:00+00:00,101526555.33
2017-03-28 00:00:00+00:00,101178101.33
2017-03-29 00:00:00+00:00,101058877.09
2017-03-30 00:00:00+00:00,100771969.66
2017-03-31 00:00:00+00:00,101333566.44
2017-04-05 00:00:00+00:00,102385960.33
2017-04-06 00:00:00+00:00,102648865.89
2017-04-07 00:00:00+00:00,102557894.89
2017-04-10 00:00:00+00:00,102166678.84
2017-04-11 00:00:00+00:00,102293684.65
2017-04-12 00:00:00+00:00,102140053.58
2017-04-13 00:00:00+00:00,101678155.79
2017-04-14 00:00:00+00:00,101137776.69
2017-04-17 00:00:00+00:00,101223821.66
2017-04-18 00:00:00+00:00,100357921.66
2017-04-19 00:00:00+00:00,99829453.32000001
2017-04-20 00:00:00+00:00,100284951.32000001
2017-04-21 00:00:00+00:00,100801158.47
2017-04-24 00:00:00+00:00,100554316.44
2017-04-25 00:00:00+00:00,100675216.44
2017-04-26 00:00:00+00:00,100665003.44
2017-04-27 00:00:00+00:00,100971437.44
2017-04-28 00:00:00+00:00,100765609.85000001
2017-05-02 00:00:00+00:00,100328481.49000001
2017-05-03 00:00:00+00:00,100026925.49000001
2017-05-04 00:00:00+00:00,99840921.7
2017-05-05 00:00:00+00:00,99633516.97
2017-05-08 00:00:00+00:00,99869309.97
2017-05-09 00:00:00+00:00,99528661.71000001
2017-05-10 00:00:00+00:00,99859212.09
2017-05-11 00:00:00+00:00,100476074.14
2017-05-12 00:00:00+00:00,102029225.12
2017-05-15 00:00:00+00:00,102299948.53
2017-05-16 00:00:00+00:00,102281318.76
2017-05-17 00:00:00+00:00,101520379.42
2017-05-18 00:00:00+00:00,101141597.9
2017-05-19 00:00:00+00:00,101438433.11
2017-05-22 00:00:00+00:00,102292827.76
2017-05-23 00:00:00+00:00,103592130.82000001
2017-05-24 00:00:00+00:00,103410473.28
2017-05-25 00:00:00+00:00,106154573.6
2017-05-26 00:00:00+00:00,106075113.39
2017-05-31 00:00:00+00:00,106412361.54
2017-06-01 00:00:00+00:00,107158037.25
2017-06-02 00:00:00+00:00,106257261.27000001
2017-06-05 00:00:00+00:00,105179023.2
2017-06-06 00:00:00+00:00,105838680.39
2017-06-07 00:00:00+00:00,106591531.85000001
2017-06-08 00:00:00+00:00,107578440.69000001
2017-06-09 00:00:00+00:00,108149656.42999999
2017-06-12 00:00:00+00:00,108106804.97
2017-06-13 00:00:00+00:00,107849943.4
2017-06-14 00:00:00+00:00,106564826.08
2017-06-15 00:00:00+00:00,105876650.45
2017-06-16 00:00:00+00:00,105691714.30000001
2017-06-19 00:00:00+00:00,106901466.18
2017-06-20 00:00:00+00:00,106482581.32000001
2017-06-21 00:00:00+00:00,107465414.30000001
2017-06-22 00:00:00+00:00,108318708.80000001
2017-06-23 00:00:00+00:00,108825934.18
2017-06-26 00:00:00+00:00,109438821.56000002
2017-06-27 00:00:00+00:00,109928330.16000001
2017-06-28 00:00:00+00:00,109193765.06000002
2017-06-29 00:00:00+00:00,109866122.89
2017-06-30 00:00:00+00:00,109715883.89
2017-07-03 00:00:00+00:00,109039386.09
2017-07-04 00:00:00+00:00,108041713.59
2017-07-05 00:00:00+00:00,109646889.30000001
2017-07-06 00:00:00+00:00,109927881.75
2017-07-07 00:00:00+00:00,109610240.11
2017-07-10 00:00:00+00:00,109878861.62
2017-07-11 00:00:00+00:00,110897049.99000001
2017-07-12 00:00:00+00:00,110438755.94
2017-07-13 00:00:00+00:00,112049658.74000001
2017-07-14 00:00:00+00:00,113014827.95000002
2017-07-17 00:00:00+00:00,113316662.03
2017-07-18 00:00:00+00:00,113009764.02000001
2017-07-19 00:00:00+00:00,114476319.76000002
2017-07-20 00:00:00+00:00,114731026.16000001
2017-07-21 00:00:00+00:00,113605961.11000001
2017-07-24 00:00:00+00:00,114250447.5
2017-07-25 00:00:00+00:00,113763724.56
2017-07-26 00:00:00+00:00,113473250.26
2017-07-27 00:00:00+00:00,113477877.45
2017-07-28 00:00:00+00:00,113431338.93
2017-07-31 00:00:00+00:00,113505060.79
2017-08-01 00:00:00+00:00,115384464.31000002
2017-08-02 00:00:00+00:00,115347808.30000001
2017-08-03 00:00:00+00:00,113872766.54000002
2017-08-04 00:00:00+00:00,113080038.67000002
2017-08-07 00:00:00+00:00,113337198.77000001
2017-08-08 00:00:00+00:00,113406199.5
2017-08-09 00:00:00+00:00,112772913.84
2017-08-10 00:00:00+00:00,112370921.04000002
2017-08-11 00:00:00+00:00,110647315.89000002
2017-08-14 00:00:00+00:00,111520135.28
2017-08-15 00:00:00+00:00,112113226.61
2017-08-16 00:00:00+00:00,111672580.7
2017-08-17 00:00:00+00:00,112063285.30000001
2017-08-18 00:00:00+00:00,112504225.75
2017-08-21 00:00:00+00:00,112618920.64
