,value
2017-01-03 00:00:00+00:00,99153008.63
2017-01-04 00:00:00+00:00,99725480.11
2017-01-05 00:00:00+00:00,99744383.21
2017-01-06 00:00:00+00:00,99183709.05
2017-01-09 00:00:00+00:00,99566786.83
2017-01-10 00:00:00+00:00,99332551.41
2017-01-11 00:00:00+00:00,98837554.96
2017-01-12 00:00:00+00:00,98630508.96
2017-01-13 00:00:00+00:00,99146568.3
2017-01-16 00:00:00+00:00,100343450.41
2017-01-17 00:00:00+00:00,100024352.48999998
2017-01-18 00:00:00+00:00,100561387.77999999
2017-01-19 00:00:00+00:00,100242291.03999999
2017-01-20 00:00:00+00:00,100738205.03999998
2017-01-23 00:00:00+00:00,100734808.22999999
2017-01-24 00:00:00+00:00,100949456.85999997
2017-01-25 00:00:00+00:00,101205174.37999998
2017-01-26 00:00:00+00:00,101422218.82999998
2017-02-03 00:00:00+00:00,100442401.45999998
2017-02-06 00:00:00+00:00,100591702.67999998
2017-02-07 00:00:00+00:00,100329286.92999998
2017-02-08 00:00:00+00:00,100691779.27999999
2017-02-09 00:00:00+00:00,101037136.57999998
2017-02-10 00:00:00+00:00,101578427.62999998
2017-02-13 00:00:00+00:00,102031508.15999998
2017-02-14 00:00:00+00:00,101757875.38999999
2017-02-15 00:00:00+00:00,101703810.79999998
2017-02-16 00:00:00+00:00,101889941.05999999
2017-02-17 00:00:00+00:00,101308283.53999998
2017-02-20 00:00:00+00:00,102587416.46999998
2017-02-21 00:00:00+00:00,102699408.86999997
2017-02-22 00:00:00+00:00,102752580.67999998
2017-02-23 00:00:00+00:00,102314056.26999998
2017-02-24 00:00:00+00:00,102414038.82999998
2017-02-27 00:00:00+00:00,101627548.04999998
2017-02-28 00:00:00+00:00,101633167.34999998
2017-03-01 00:00:00+00:00,101682781.70999998
2017-03-02 00:00:00+00:00,100989939.41999999
2017-03-03 00:00:00+00:00,100706242.98999998
2017-03-06 00:00:00+00:00,100817525.82999998
2017-03-07 00:00:00+00:00,101078402.83999999
2017-03-08 00:00:00+00:00,101150863.82999998
2017-03-09 00:00:00+00:00,100681291.22999999
2017-03-10 00:00:00+00:00,100382861.37999998
2017-03-13 00:00:00+00:00,101020877.45999998
2017-03-14 00:00:00+00:00,101020949.84999998
2017-03-15 00:00:00+00:00,101118962.81999998
2017-03-16 00:00:00+00:00,101603376.94999997
2017-03-17 00:00:00+00:00,100697155.16999999
2017-03-20 00:00:00+00:00,100823389.25999998
2017-03-21 00:00:00+00:00,101111376.51999998
2017-03-22 00:00:00+00:00,100353583.61999997
2017-03-23 00:00:00+00:00,100708162.85999998
2017-03-24 00:00:00+00:00,101448583.86999997
2017-03-27 00:00:00+00:00,101400378.46999997
2017-03-28 00:00:00+00:00,101048851.86999997
2017-03-29 00:00:00+00:00,100936366.63999997
2017-03-30 00:00:00+00:00,100664305.25999998
2017-03-31 00:00:00+00:00,101197547.33999997
2017-04-05 00:00:00+00:00,102179380.91999997
2017-04-06 00:00:00+00:00,102421025.16999997
2017-04-07 00:00:00+00:00,102334550.51999997
2017-04-10 00:00:00+00:00,101963500.71999997
2017-04-11 00:00:00+00:00,102083426.36999996
2017-04-12 00:00:00+00:00,101938284.38999997
2017-04-13 00:00:00+00:00,101500046.41999997
2017-04-14 00:00:00+00:00,100957150.14999996
2017-04-17 00:00:00+00:00,101038618.41999996
2017-04-18 00:00:00+00:00,100217003.76999997
2017-04-19 00:00:00+00:00,99715549.27999996
2017-04-20 00:00:00+00:00,100146896.72999996
2017-04-21 00:00:00+00:00,100630685.86999996
2017-04-24 00:00:00+00:00,100365992.73999995
2017-04-25 00:00:00+00:00,100479557.43999995
2017-04-26 00:00:00+00:00,100573409.46999995
2017-04-27 00:00:00+00:00,100863458.62999997
2017-04-28 00:00:00+00:00,100717957.62999997
2017-05-02 00:00:00+00:00,100302191.54999995
2017-05-03 00:00:00+00:00,100015810.47999996
2017-05-04 00:00:00+00:00,99838900.60999995
2017-05-05 00:00:00+00:00,99641744.61999996
2017-05-08 00:00:00+00:00,99865333.35999995
2017-05-09 00:00:00+00:00,99542395.59999995
2017-05-10 00:00:00+00:00,99855998.27999996
2017-05-11 00:00:00+00:00,100441966.26999995
2017-05-12 00:00:00+00:00,101916944.70999995
2017-05-15 00:00:00+00:00,102173102.34999995
2017-05-16 00:00:00+00:00,102154681.02999994
2017-05-17 00:00:00+00:00,101433088.21999994
2017-05-18 00:00:00+00:00,101119766.10999994
