,code,start_date,end_date,trader_name,trader_amount,type
33,002046.SZ,,20160104,华泰证券股份有限公司上海浦东新区福山路证券营业部,2894775.8,03
39,002779.SZ,,20160104,华泰证券股份有限公司深圳益田路营业部,10236608.1,"03,04"
69,603398.SH,,20160104,华泰证券股份有限公司厦门厦禾路证券营业部,49716898.94,02
71,002109.SZ,,20160104,华泰证券股份有限公司上海共和新路证券营业部,7770685.11,02
76,002779.SZ,,20160104,华泰证券股份有限公司深圳泰然路证券营业部,15607693.22,"03,04"
78,002655.SZ,,20160104,华泰证券股份有限公司南京分公司,24546518.14,03
98,002779.SZ,,20160104,华泰证券股份有限公司上海浦东新区乳山路证券营业部,12973827.82,"03,04"
110,002468.SZ,,20160104,华泰证券股份有限公司深圳留仙大道众冠大厦证券营业部,14487264.0,02
111,002150.SZ,,20160104,华泰证券股份有限公司上海黄浦区来福士广场证券营业部,6670903.95,02
118,002200.SZ,,20160104,华泰证券股份有限公司郑州经三路证券营业部,3014229.0,03
125,603936.SH,20151230,20160104,华泰证券股份有限公司沈阳大西路证券营业部,25965007.56,05
138,600258.SH,,20160104,华泰证券股份有限公司上海浦东新区福山路证券营业部,32791224.0,02
142,600463.SH,20151231,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,20921852.0,05
143,600468.SH,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,13946302.61,03
149,600463.SH,20151231,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,20518810.0,05
155,603936.SH,20151230,20160104,华泰证券股份有限公司沈阳大西路证券营业部,54375997.0,05
158,600258.SH,,20160104,华泰证券股份有限公司绍兴上大路证券营业部,26304000.0,02
162,600258.SH,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,32942307.6,02
169,603398.SH,,20160104,华泰证券股份有限公司盐城分公司,25872470.0,02
173,603398.SH,,20160104,华泰证券股份有限公司重庆春晖路证券营业部,35692826.0,02
175,603936.SH,20151230,20160104,华泰证券股份有限公司上海武定路证券营业部,22314217.4,05
176,603398.SH,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,90697580.0,02
177,603936.SH,20151230,20160104,华泰证券股份有限公司上海共和新路证券营业部,20816943.0,05
185,600258.SH,,20160104,华泰证券股份有限公司台州中心大道证券营业部,32547912.0,02
194,300496.SZ,,20160104,华泰证券股份有限公司常州东横街证券营业部,308020.0,02
208,000519.SZ,,20160104,华泰证券股份有限公司盐城分公司,7597395.8,03
217,002468.SZ,,20160104,华泰证券股份有限公司淮安分公司,2517840.0,02
222,002150.SZ,,20160104,华泰证券股份有限公司广州东风西路证券营业部,7863820.2,02
247,000971.SZ,,20160104,华泰证券股份有限公司深圳留仙大道众冠大厦证券营业部,1843463.06,02
248,000693.SZ,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,4807546.0,03
249,000048.SZ,,20160104,华泰证券股份有限公司沈阳大西路证券营业部,8050406.24,02
263,000838.SZ,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,93163700.0,02
271,000779.SZ,,20160104,华泰证券股份有限公司南京草场门大街证券营业部,60814637.0,03
290,000048.SZ,,20160104,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,5848227.0,02
306,300493.SZ,,20160104,华泰证券股份有限公司无锡解放西路证券营业部,77299.0,02
309,002781.SZ,,20160104,华泰证券股份有限公司南通姚港路证券营业部,61665.0,02
310,300495.SZ,,20160104,华泰证券股份有限公司广州天河东路证券营业部,78576.0,02
336,300493.SZ,,20160104,华泰证券股份有限公司成都南一环路第二证券营业部,68205.0,02
360,300209.SZ,,20160104,华泰证券股份有限公司深圳留仙大道众冠大厦证券营业部,9552708.0,02
366,603936.SH,,20160104,华泰证券股份有限公司上海共和新路证券营业部,19237821.0,"03,04"
372,603936.SH,,20160104,华泰证券股份有限公司沈阳大西路证券营业部,25496371.56,"03,04"
395,603398.SH,20160104,20160105,华泰证券股份有限公司厦门厦禾路证券营业部,53022071.0,05
406,603398.SH,20160104,20160105,华泰证券股份有限公司重庆春晖路证券营业部,38464469.0,05
409,603398.SH,20160104,20160105,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,97506251.0,05
438,000667.SZ,,20160105,华泰证券股份有限公司上海武定路证券营业部,100292058.7,02
447,000520.SZ,,20160105,华泰证券股份有限公司厦门厦禾路证券营业部,58853803.9,02
465,002779.SZ,,20160105,华泰证券股份有限公司上海分公司,10737390.85,"02,04"
468,002757.SZ,,20160105,华泰证券股份有限公司上海天钥桥路证券营业部,2265557.0,03
476,002777.SZ,20160104,20160105,华泰证券股份有限公司西安文艺北路证券营业部,9985.0,05
481,603999.SH,20160104,20160105,华泰证券股份有限公司成都蜀金路证券营业部,48446423.38,05
493,300300.SZ,,20160105,华泰证券股份有限公司孝感长征路证券营业部,22129255.5,02
512,002183.SZ,,20160105,华泰证券股份有限公司上海威宁路证券营业部,42276908.83,02
529,002191.SZ,20151231,20160105,华泰证券股份有限公司上海威宁路证券营业部,75834236.69,05
541,000597.SZ,,20160105,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,17703720.0,03
547,000048.SZ,20160104,20160105,华泰证券股份有限公司深圳侨香路智慧广场证券营业部,18749889.0,05
555,000048.SZ,20160104,20160105,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,21973283.0,05
567,300495.SZ,20160104,20160105,华泰证券股份有限公司成都晋阳路证券营业部,108040.0,05
575,600569.SH,,20160105,华泰证券股份有限公司上海浦东新区福山路证券营业部,7103016.0,02
586,002782.SZ,20160104,20160105,华泰证券股份有限公司深圳留仙大道众冠大厦证券营业部,1326780.0,05
599,002781.SZ,20160104,20160105,华泰证券股份有限公司上海天钥桥路证券营业部,19116709.78,05
607,002782.SZ,20160104,20160105,华泰证券股份有限公司合肥长江东大街证券营业部,1976832.0,05
648,300492.SZ,20160104,20160105,华泰证券股份有限公司宜昌西陵一路证券营业部,19161.0,05
649,300497.SZ,20160104,20160105,华泰证券股份有限公司连云港通灌南路证券营业部,52060.0,05
651,300301.SZ,,20160105,华泰证券股份有限公司常熟金沙江路证券营业部,15408893.5,03
656,300497.SZ,20160104,20160105,华泰证券股份有限公司江西分公司,49695.0,05
