,股票代码,股票名称,状态,税前派息,分红点数,每股转送,预案公告日,股权登记日,派息日,是否预测
79,600266.SH,北京城建,去年有分红，今年已有公告，实际派息日和股权登记日,0.24,0.2801526934757236,0.2,2019-04-13 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
105,002030.SZ,达安基因,去年有分红，今年已有公告，实际派息日和股权登记日,0.041,0.02968936845545628,0.0,2019-03-30 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
294,600141.SH,兴发集团,去年有分红，今年已有公告，实际派息日和股权登记日,0.2,0.12995373546801947,0.0,2019-03-26 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
463,002405.SZ,四维图新,去年有分红，今年已有公告，实际派息日和股权登记日,0.014,0.014857438552874924,0.5,2019-04-16 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
281,002583.SZ,海能达,去年有分红，今年已有公告，实际派息日和股权登记日,0.035,0.042685077302009454,0.0,2019-04-02 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
269,002155.SZ,湖南黄金,去年无分红，今年已有公告，实际派息日和股权登记日,0.04,0.0382484424924,0.0,2019-03-26 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
456,603712.SH,七一二,去年有分红，今年已有公告，实际派息日和股权登记日,0.05,0.014330223350636136,0.0,2019-04-12 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
228,002507.SZ,涪陵榨菜,去年有分红，今年已有公告，实际派息日和股权登记日,0.26,0.15917778269192023,0.0,2019-03-22 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
381,600338.SH,西藏珠峰,去年有分红，今年已有公告，实际派息日和股权登记日,0.04,0.017672511187494338,0.4,2019-04-29 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
401,000061.SZ,农产品,去年有分红，今年已有公告，实际派息日和股权登记日,0.01,0.015956574816102236,0.0,2019-04-27 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
419,000930.SZ,中粮生化,去年无分红，今年已有公告，实际派息日和股权登记日,0.025,0.030407566096320518,0.0,2019-04-30 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
408,002408.SZ,齐翔腾达,去年有分红，今年已有公告，实际派息日和股权登记日,0.090028,0.10195037471717704,0.0,2019-03-26 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
356,600884.SH,杉杉股份,去年有分红，今年已有公告，实际派息日和股权登记日,0.08,0.08301231271118042,0.0,2019-04-25 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
16,002152.SZ,广电运通,去年有分红，今年已有公告，实际派息日和股权登记日,0.12,0.18571406771898225,0.0,2019-04-27 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
422,600458.SH,时代新材,去年有分红，今年已有公告，实际派息日和股权登记日,0.04,0.025445567111879862,0.0,2019-03-29 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
420,002936.SZ,郑州银行,去年无分红，今年已有公告，实际派息日和股权登记日,0.15,0.12448339666390724,0.0,2019-03-29 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
411,000006.SZ,深振业A,去年有分红，今年已有公告，实际派息日和股权登记日,0.195,0.23188200855894436,0.0,2019-03-30 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
45,000623.SZ,吉林敖东,去年有分红，今年已有公告，实际派息日和股权登记日,0.2,0.2437227499597519,0.0,2019-04-03 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
457,000028.SZ,国药一致,去年有分红，今年已有公告，实际派息日和股权登记日,0.4,0.06825526541671673,0.0,2019-04-25 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
278,600623.SH,华谊集团,去年有分红，今年已有公告，实际派息日和股权登记日,0.26,0.13612275322413908,0.0,2019-04-23 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
402,600006.SH,东风汽车,去年有分红，今年已有公告，实际派息日和股权登记日,0.0833,0.08927321585932392,0.0,2019-03-30 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
310,600557.SH,康缘药业,去年有分红，今年已有公告，实际派息日和股权登记日,0.08,0.04463497411665021,0.0,2019-04-10 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
446,600392.SH,盛和资源,去年有分红，今年已有公告，实际派息日和股权登记日,0.03,0.03764099836958615,0.0,2019-03-29 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
250,601139.SH,深圳燃气,去年有分红，今年已有公告，实际派息日和股权登记日,0.15,0.10842596590277392,0.0,2019-04-25 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
451,601098.SH,中南传媒,去年有分红，今年已有公告，实际派息日和股权登记日,0.61,0.5766738012314003,0.0,2019-04-23 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
352,000519.SZ,中兵红箭,去年无分红，今年已有公告，实际派息日和股权登记日,0.041,0.03812245943079285,0.0,2019-04-23 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
324,600820.SH,隧道股份,去年有分红，今年已有公告，实际派息日和股权登记日,0.19,0.4548285503821988,0.0,2019-04-13 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
192,600657.SH,信达地产,去年有分红，今年已有公告，实际派息日和股权登记日,0.12,0.12633135535470713,0.0,2019-03-29 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
