,index_code,code,date,free_shares,close,total_shares,free_shares_pct,revised_free_shares_pct,revised_free_shares_value,weight
0,000016.SH,601288.SH,20190603,3543299.069,3.73,34998303.39,0.101242024,0.11,14359803.88,2.5070444
1,000016.SH,600585.SH,20190603,207083.2565,39.35,529930.2579,0.390774547,0.4,8341102.259,1.4562534
2,000016.SH,601111.SH,20190603,245356.0204,8.81,1452481.519,0.168921957,0.2,2559272.436,0.4468174
3,000016.SH,600000.SH,20190603,1534472.489,11.28,2935208.04,0.522781509,0.6,19865488.01,3.4682688
4,000016.SH,601186.SH,20190603,456050.891,9.46,1357954.15,0.335836737,0.4,5138498.504,0.8971184
5,000016.SH,600276.SH,20190603,266159.7996,63.22,442281.4197,0.601788336,0.7,19572721.95,3.4171555
6,000016.SH,601336.SH,20190603,70249.7025,51.8,311954.66,0.225192028,0.3,4847775.416,0.8463617
7,000016.SH,601088.SH,20190603,267832.8759,18.56,1988962.046,0.134659621,0.14,5168118.979,0.9022897
8,000016.SH,600196.SH,20190603,97242.6074,24.66,256289.8545,0.379424334,0.4,2528043.125,0.4413651
9,000016.SH,600016.SH,20190603,3418200.609,6.17,4378241.85,0.780724484,0.8,21611001.77,3.7730139
10,000016.SH,600690.SH,20190603,351748.3579,16.05,636841.67,0.55233251,0.6,6132785.282,1.0707086
11,000016.SH,600028.SH,20190603,1284854.365,5.44,12107120.96,0.106123856,0.11,7244901.185,1.2648703
12,000016.SH,600104.SH,20190603,331198.2926,24.4,1168346.137,0.283476174,0.3,8552293.719,1.4931248
13,000016.SH,601989.SH,20190603,856107.5448,5.13,2287979.324,0.374176259,0.4,4694933.573,0.8196774
14,000016.SH,600036.SH,20190603,1241481.205,34.4,2521984.56,0.492263602,0.5,43378134.43,7.5732864
15,000016.SH,601319.SH,20190603,101124,9.15,4422399.058,0.022866322,0.03,1213948.542,0.2119404
16,000016.SH,600031.SH,20190603,552443.9234,11.96,837509.2468,0.659627252,0.7,7011627.414,1.2241435
17,000016.SH,600048.SH,20190603,704856.678,12.18,1189502.91,0.592564064,0.6,8692887.265,1.5176707
18,000016.SH,601988.SH,20190603,2049395.674,3.7,29438779.12,0.069615512,0.07,7624643.793,1.3311686
19,000016.SH,601390.SH,20190603,703814.7153,6.43,2284430.154,0.308092026,0.4,5875554.357,1.0257992
20,000016.SH,601939.SH,20190603,890107.583,7.01,25001097.75,0.03560274,0.04,7010307.809,1.2239131
21,000016.SH,601601.SH,20190603,270117.4829,34.71,906200,0.298077116,0.3,9436260.6,1.6474545
22,000016.SH,601398.SH,20190603,2156398.602,5.7,35640625.71,0.060503949,0.07,14220609.66,2.4827428
23,000016.SH,600029.SH,20190603,298342.1335,7.31,1226717.229,0.243203671,0.3,2690190.882,0.4696741
24,000016.SH,601318.SH,20190603,986994.5396,79.25,1828024.141,0.539924237,0.6,86922547.9,15.1756031
25,000016.SH,600837.SH,20190603,767571.0612,12.29,1150170,0.667354444,0.7,9894912.51,1.7275295
26,000016.SH,603259.SH,20190603,32139.2173,78.31,117006.2286,0.274679542,0.3,2748827.328,0.4799113
27,000016.SH,601668.SH,20190603,1751037.905,5.63,4198126.565,0.417099837,0.5,11817726.28,2.063229
28,000016.SH,601888.SH,20190603,91183.2854,76.62,195247.5544,0.467013713,0.5,7479933.809,1.305904
29,000016.SH,601166.SH,20190603,1496713.095,17.65,2077419.075,0.72046758,0.8,29333157.34,5.1212069
30,000016.SH,601857.SH,20190603,1432463.538,7.13,18302097.78,0.078267724,0.08,10439516.57,1.8226106
31,000016.SH,601766.SH,20190603,886346.3721,7.92,2869886.409,0.308843712,0.4,9091800.143,1.587316
32,000016.SH,600309.SH,20190603,142375.642,38.29,313974.6626,0.453462202,0.5,6011044.915,1.0494542
33,000016.SH,600703.SH,20190603,216005.5695,10.78,407842.4928,0.529629877,0.6,2637925.243,0.4605492
34,000016.SH,601328.SH,20190603,2410217.019,5.99,7426272.665,0.324552723,0.4,17793349.3,3.106499
35,000016.SH,600519.SH,20190603,44961.3757,892,125619.78,0.35791637,0.4,44821137.5,7.8252169
36,000016.SH,601066.SH,20190603,40000,23.43,764638.5238,0.0523123,0.06,1074928.837,0.1876693
37,000016.SH,601800.SH,20190603,351792.9901,10.91,1617473.543,0.21749536,0.3,5293990.905,0.9242654
38,000016.SH,601628.SH,20190603,150000,26.21,2826470.5,0.053069721,0.06,4444907.508,0.7760259
39,000016.SH,600887.SH,20190603,551978.7086,30.59,609712.5108,0.905309796,1,18651105.71,3.2562527
40,000016.SH,600030.SH,20190603,781496.5954,20.19,1211690.84,0.64496369,0.7,17124826.64,2.9897832
41,000016.SH,601818.SH,20190603,1579127.942,3.89,5248930.046,0.300847588,0.4,8167335.151,1.4259158
42,000016.SH,600340.SH,20190603,171945.0756,29.4,300259.1709,0.572655533,0.6,5296571.775,0.924716
43,000016.SH,601211.SH,20190603,432351.2878,16.04,890794.7954,0.485354528,0.5,7144174.259,1.2472846
44,000016.SH,600019.SH,20190603,781876.5454,6.38,2227613.408,0.350992925,0.4,5684869.416,0.992508
45,000016.SH,600050.SH,20190603,789710.7974,6.09,3104096.769,0.254409207,0.3,5671184.796,0.9901188
46,000016.SH,601688.SH,20190603,324904.7506,18.82,825150,0.393752349,0.4,6211729.2,1.0844912
47,000016.SH,603993.SH,20190603,700277.2183,3.98,2159924.058,0.324213815,0.4,3438599.101,0.6003369
48,000016.SH,601138.SH,20190603,111788.9707,13.38,1984448.357,0.056332517,0.06,1593115.141,0.2781382
49,000016.SH,601229.SH,20190603,509062.2453,11.38,1092809.9,0.465828728,0.5,6218088.331,1.0856014
