,股票代码,股票名称,状态,税前派息,分红点数,每股转送,预案公告日,股权登记日,派息日,是否预测
40,002601.SZ,龙蟒佰利,去年有分红，今年已有公告，实际派息日和股权登记日,0.1,0.017364467560072233,0.0,2019-04-23 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
174,601997.SH,贵阳银行,去年有分红，今年已有公告，实际派息日和股权登记日,0.4,0.16114735772423205,0.4,2019-04-16 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
268,002007.SZ,华兰生物,去年有分红，今年已有公告，实际派息日和股权登记日,0.4,0.06771551629156364,0.5,2019-03-29 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,False
95,600023.SH,浙能电力,去年有分红，今年已有公告，实际派息日和股权登记日,0.18,0.2218826708785665,0.0,2019-04-16 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
193,600111.SH,北方稀土,去年有分红，今年已有公告，实际派息日和股权登记日,0.05,0.03518021821923679,0.0,2019-04-20 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
68,601162.SH,天风证券,去年无分红，今年已有公告，实际派息日和股权登记日,0.007,0.0010161136149140367,0.0,2019-04-16 00:00:00,2019-06-17 00:00:00,2019-06-18 00:00:00,False
204,601166.SH,兴业银行,去年有分红，今年已有公告，实际派息日和股权登记日,0.69,3.2395113559666613,0.0,2019-04-30 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
41,002601.SZ,龙蟒佰利,去年有分红，今年已有公告，实际派息日和股权登记日,0.6,0.1041868053604334,0.0,2019-04-23 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
7,600585.SH,海螺水泥,去年有分红，今年已有公告，实际派息日和股权登记日,1.69,1.0149955080058009,0.0,2019-03-22 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
253,601628.SH,中国人寿,去年有分红，今年已有公告，实际派息日和股权登记日,0.16,0.07858424100365147,0.0,2019-03-28 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
1,601288.SH,农业银行,去年有分红，今年已有公告，实际派息日和股权登记日,0.1739,1.9505986755574931,0.0,2019-03-30 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
233,002466.SZ,天齐锂业,去年有分红，今年已有公告，实际派息日和股权登记日,0.1800102,0.03787771041445056,0.0,2019-03-29 00:00:00,2019-06-18 00:00:00,2019-06-19 00:00:00,False
298,601138.SH,工业富联,去年无分红，今年已有公告，实际派息日和股权登记日,0.129,0.05110869794610544,0.0,2019-03-30 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
29,000786.SZ,北新建材,去年有分红，今年已有公告，实际派息日和股权登记日,0.46,0.11606332461849629,0.0,2019-03-20 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
188,000768.SZ,中航飞机,去年有分红，今年已有公告，实际派息日和股权登记日,0.1,0.04113874702369316,0.0,2019-03-19 00:00:00,2019-06-19 00:00:00,2019-06-20 00:00:00,False
76,000876.SZ,新希望,去年有分红，今年已有公告，实际派息日和股权登记日,0.03,0.01980550139992233,0.0,2019-04-04 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
270,002010.SZ,传化智联,去年有分红，今年已有公告，实际派息日和股权登记日,0.1,0.036560156235494884,0.0,2019-04-16 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
166,000596.SZ,古井贡酒,去年有分红，今年已有公告，实际派息日和股权登记日,1.5,0.06718008637904999,0.0,2019-04-27 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
163,600271.SH,航天信息,去年有分红，今年已有公告，实际派息日和股权登记日,0.44,0.14365058094807037,0.0,2019-03-29 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
23,000963.SZ,华东医药,去年有分红，今年已有公告，实际派息日和股权登记日,0.33,0.07314394957161599,0.2,2019-04-19 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
84,300003.SZ,乐普医疗,去年有分红，今年已有公告，实际派息日和股权登记日,0.165,0.05414698948957846,0.0,2019-03-29 00:00:00,2019-06-20 00:00:00,2019-06-21 00:00:00,False
217,300122.SZ,智飞生物,去年有分红，今年已有公告，实际派息日和股权登记日,0.5,0.07528109867041667,0.0,2019-04-04 00:00:00,2019-06-21 00:00:00,2019-06-24 00:00:00,False
199,601888.SH,中国国旅,去年有分红，今年已有公告，实际派息日和股权登记日,0.55,0.15206161171394345,0.0,2019-04-27 00:00:00,2019-06-21 00:00:00,2019-06-24 00:00:00,False
227,002939.SZ,长城证券,去年无分红，今年已有公告，实际派息日和股权登记日,0.2,0.019223661127979696,0.0,2019-04-23 00:00:00,2019-06-21 00:00:00,2019-06-24 00:00:00,False
241,601933.SH,永辉超市,去年有分红，今年已有公告，实际派息日和股权登记日,0.11,0.12443006032981492,0.0,2019-04-26 00:00:00,2019-06-21 00:00:00,2019-06-24 00:00:00,False
124,601838.SH,成都银行,去年有分红，今年已有预案，预测派息日和股权登记日,0.35,0.21319581617316669,0.0,2019-04-25 00:00:00,2019-06-25 00:00:00,2019-06-25 00:00:00,True
191,600153.SH,建发股份,去年有分红，今年已有公告，实际派息日和股权登记日,0.5,0.24168999636477578,0.0,2019-04-23 00:00:00,2019-06-24 00:00:00,2019-06-25 00:00:00,False
34,600025.SH,华能水电,去年有分红，今年已有预案，预测派息日和股权登记日,0.15022,0.07902674311390945,0.0,2019-04-26 00:00:00,2019-06-25 00:00:00,2019-06-26 00:00:00,True
113,601117.SH,中国化学,去年有分红，今年已有预案，预测派息日和股权登记日,0.118,0.0990805106303366,0.0,2019-04-12 00:00:00,2019-06-25 00:00:00,2019-06-26 00:00:00,True
122,300142.SZ,沃森生物,去年无分红，今年已有预案，预测派息日和股权登记日,0.03,0.010417134441119653,0.0,2019-04-26 00:00:00,2019-06-26 00:00:00,2019-06-26 00:00:00,True
37,002044.SZ,美年健康,去年有分红，今年已有预案，预测派息日和股权登记日,0.053,0.03226687015284834,0.2,2019-04-26 00:00:00,2019-06-26 00:00:00,2019-06-26 00:00:00,True
225,600703.SH,三安光电,去年有分红，今年已有预案，预测派息日和股权登记日,0.2,0.14522314181253798,0.0,2019-04-26 00:00:00,2019-06-26 00:00:00,2019-06-26 00:00:00,True
65,000709.SZ,河钢股份,去年有分红，今年已有预案，预测派息日和股权登记日,0.1,0.12558572071422483,0.0,2019-04-26 00:00:00,2019-06-25 00:00:00,2019-06-26 00:00:00,True
159,002311.SZ,海大集团,去年有分红，今年已有预案，预测派息日和股权登记日,0.3,0.06957351298292201,0.0,2019-04-16 00:00:00,2019-06-26 00:00:00,2019-06-27 00:00:00,True
119,601006.SH,大秦铁路,去年有分红，今年已有预案，预测派息日和股权登记日,0.48,0.8343970821303281,0.0,2019-04-25 00:00:00,2019-06-26 00:00:00,2019-06-27 00:00:00,True
282,601211.SH,国泰君安,去年有分红，今年已有预案，预测派息日和股权登记日,0.275,0.3566267585302121,0.0,2019-03-21 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
304,601669.SH,中国电建,去年有分红，今年已有预案，预测派息日和股权登记日,0.09684,0.20423116575983705,0.0,2019-04-27 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
77,002027.SZ,分众传媒,去年有分红，今年已有预案，预测派息日和股权登记日,0.1,0.301765125288989,0.0,2019-04-25 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
306,000898.SZ,鞍钢股份,去年有分红，今年已有预案，预测派息日和股权登记日,0.22,0.14107193385820352,0.3,2019-03-19 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
89,600406.SH,国电南瑞,去年有分红，今年已有预案，预测派息日和股权登记日,0.37,0.24718746230314959,0.0,2019-04-29 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
90,600372.SH,中航电子,去年有分红，今年已有预案，预测派息日和股权登记日,0.05,0.008147308342591555,0.0,2019-03-21 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
288,600050.SH,中国联通,去年有分红，今年已有预案，预测派息日和股权登记日,0.0533,0.14625812761278092,0.0,2019-03-14 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
75,601899.SH,紫金矿业,去年有分红，今年已有预案，预测派息日和股权登记日,0.1,0.3246099437483363,0.0,2019-03-23 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
299,600015.SH,华夏银行,去年有分红，今年已有预案，预测派息日和股权登记日,0.174,0.31205444329034177,0.0,2019-04-19 00:00:00,2019-06-27 00:00:00,2019-06-28 00:00:00,True
52,000651.SZ,格力电器,去年无分红，今年已有预案，预测派息日和股权登记日,1.5,2.175735466392212,0.0,2019-04-29 00:00:00,2019-07-01 00:00:00,2019-07-01 00:00:00,True
