,股票代码,股票名称,状态,税前派息,分红点数,每股转送,预案公告日,股权登记日,派息日,是否预测
20,601390.SH,中国中铁,去年有分红，今年已有公告，实际派息日和股权登记日,0.128,0.5889318824362245,0.0,2019-03-30 00:00:00,2019-07-22 00:00:00,2019-07-23 00:00:00,False
27,600837.SH,海通证券,去年有分红，今年已有预案，预测派息日和股权登记日,0.15,0.552894436232358,0.0,2019-03-28 00:00:00,2019-07-30 00:00:00,2019-07-31 00:00:00,True
8,600196.SH,复星医药,去年有分红，今年已有预案，预测派息日和股权登记日,0.32,0.15685528159665282,0.0,2019-03-26 00:00:00,2019-08-01 00:00:00,2019-08-02 00:00:00,True
22,601601.SH,中国太保,去年有分红，今年已有预案，预测派息日和股权登记日,1.0,1.3665958625678354,0.0,2019-03-25 00:00:00,2019-08-06 00:00:00,2019-08-07 00:00:00,True
6,601336.SH,新华保险,去年有分红，今年已有预案，预测派息日和股权登记日,0.77,0.35838001810200404,0.0,2019-03-21 00:00:00,2019-08-08 00:00:00,2019-08-09 00:00:00,True
14,601989.SH,中国重工,去年有分红，今年已有预案，预测派息日和股权登记日,0.009,0.03509889435364344,0.0,2019-04-27 00:00:00,2019-08-14 00:00:00,2019-08-15 00:00:00,True
17,600031.SH,三一重工,去年有分红，今年已有预案，预测派息日和股权登记日,0.26,0.7261514621105915,0.0,2019-04-01 00:00:00,2019-08-19 00:00:00,2019-08-20 00:00:00,True
43,600030.SH,中信证券,去年有分红，今年已有预案，预测派息日和股权登记日,0.35,1.308600150812193,0.0,2019-03-22 00:00:00,2019-08-22 00:00:00,2019-08-23 00:00:00,True
26,601318.SH,中国平安,去年有分红，今年金额未满，预测仍将分红,1.4239388687225434,7.067695999871291,,,2019-09-04 00:00:00,2019-09-05 00:00:00,True
12,600028.SH,中国石化,去年有分红，今年金额未满，预测仍将分红,0.3612618296529969,2.4840831076175323,,,2019-09-10 00:00:00,2019-09-11 00:00:00,True
33,601857.SH,中国石油,去年有分红，今年金额未满，预测仍将分红,0.19918897518719716,1.5584062251373803,,,2019-09-19 00:00:00,2019-09-20 00:00:00,True
49,601688.SH,华泰证券,去年有分红，今年已有预案，预测派息日和股权登记日,0.3,0.4444591760033267,0.0,2019-03-30 00:00:00,2019-11-13 00:00:00,2019-11-14 00:00:00,True
39,601066.SH,中信建投,去年有分红，今年已有预案，预测派息日和股权登记日,0.18,0.045823657377685116,0.0,2019-03-19 00:00:00,2019-12-02 00:00:00,2019-12-03 00:00:00,True
4,601186.SH,中国铁建,去年有分红，今年已有预案，预测派息日和股权登记日,0.21,0.559873228736261,0.0,2019-03-30 00:00:00,,,True
10,600690.SH,海尔智家,去年有分红，今年已有预案，预测派息日和股权登记日,0.351,0.6236765661798368,0.0,2019-04-30 00:00:00,,,True
16,601319.SH,中国人保,去年无分红，今年已有预案，预测派息日和股权登记日,0.0457,0.031113485829249433,0.0,2019-03-23 00:00:00,,,True
24,600029.SH,南方航空,去年有分红，今年已有预案，预测派息日和股权登记日,0.05,0.09072575918710733,0.0,2019-03-30 00:00:00,,,True
34,601766.SH,中国中车,去年有分红，今年已有预案，预测派息日和股权登记日,0.15,0.8666961023599746,0.0,2019-03-29 00:00:00,,,True
36,600703.SH,三安光电,去年有分红，今年已有预案，预测派息日和股权登记日,0.2,0.2357679999373357,0.0,2019-04-26 00:00:00,,,True
46,601211.SH,国泰君安,去年有分红，今年已有预案，预测派息日和股权登记日,0.275,0.5653333962895374,0.0,2019-03-21 00:00:00,,,True
