,index_code,code,date,free_shares,close,total_shares,free_shares_pct,revised_free_shares_pct,revised_free_shares_value,weight
0,000300.SH,600809.SH,20190603,25408.5824,55.77,87152.8266,0.291540543,0.3,1458153.942,0.1171758
1,000300.SH,601288.SH,20190603,3543299.069,3.73,34998303.39,0.101242024,0.11,14359803.88,1.1539396
2,000300.SH,601898.SH,20190603,154679.2792,4.71,1325866.34,0.1166628,0.12,749379.6554,0.0602194
3,000300.SH,600010.SH,20190603,1849259.934,1.74,4558503.265,0.405672614,0.5,3965897.84,0.3186956
4,000300.SH,300033.SZ,20190603,18027.8138,85.17,53760,0.335338798,0.4,1831495.68,0.1471772
5,000300.SH,002602.SZ,20190603,61006.8703,17.29,233475.6244,0.261298671,0.3,1211038.064,0.0973178
6,000300.SH,600585.SH,20190603,207083.2565,39.35,529930.2579,0.390774547,0.4,8341102.259,0.6702827
7,000300.SH,603260.SH,20190603,9652,48.15,67000,0.144059701,0.15,483907.5,0.0388863
8,000300.SH,000423.SZ,20190603,44473.469,40.57,65402.1537,0.680000069,0.7,1857355.763,0.1492553
9,000300.SH,300015.SZ,20190603,86772.7834,37.46,238338.0148,0.364074457,0.4,3571256.814,0.2869827
10,000300.SH,601111.SH,20190603,245356.0204,8.81,1452481.519,0.168921957,0.2,2559272.436,0.2056606
11,000300.SH,002271.SZ,20190603,86248.1431,19.1,149208.3223,0.578038422,0.6,1709927.374,0.1374081
12,000300.SH,600000.SH,20190603,1534472.489,11.28,2935208.04,0.522781509,0.6,19865488.01,1.5963709
13,000300.SH,601186.SH,20190603,456050.891,9.46,1357954.15,0.335836737,0.4,5138498.504,0.4129246
14,000300.SH,002493.SZ,20190603,104051.716,11.17,629110.775,0.165394904,0.2,1405433.471,0.1129392
15,000300.SH,600221.SH,20190603,1038137.375,2.02,1680612.033,0.617713877,0.7,2376385.415,0.190964
16,000300.SH,300136.SZ,20190603,76057.5563,22.82,97559.5304,0.779601501,0.8,1781046.787,0.1431232
17,000300.SH,002146.SZ,20190603,160167.3171,9.23,434816.3851,0.368356213,0.4,1605342.094,0.1290037
18,000300.SH,601108.SH,20190603,240669.2646,10.33,358900,0.670574713,0.7,2595205.9,0.2085482
19,000300.SH,601198.SH,20190603,130336.0173,11.68,275796.0657,0.472581133,0.5,1610649.024,0.1294302
20,000300.SH,600276.SH,20190603,266159.7996,63.22,442281.4197,0.601788336,0.7,19572721.95,1.5728445
21,000300.SH,600299.SH,20190603,28877.6851,10.52,268190.1273,0.107676168,0.11,310349.6153,0.0249394
22,000300.SH,000963.SZ,20190603,60905.9493,29.5,145817.4624,0.417686252,0.5,2150807.57,0.1728368
23,000300.SH,601919.SH,20190603,307807.9713,4.82,1225952.923,0.251076502,0.3,1772727.926,0.1424547
24,000300.SH,601009.SH,20190603,536852.756,8.25,848220.7924,0.632916289,0.7,4898475.076,0.3936366
25,000300.SH,002714.SZ,20190603,72812.2294,65.14,208523.4222,0.3491801,0.4,5433286.289,0.4366135
26,000300.SH,600663.SH,20190603,65745.5778,14.35,403419.744,0.16297065,0.2,1157814.665,0.0930408
27,000300.SH,002925.SZ,20190603,11657.948,39.55,45852.95,0.254246412,0.3,544045.2517,0.0437189
28,000300.SH,603799.SH,20190603,48011.1232,27.12,82974.7285,0.578623444,0.6,1350164.782,0.1084979
29,000300.SH,000786.SZ,20190603,77491.5722,19.2,168950.7842,0.458663584,0.5,1621927.528,0.1303365
30,000300.SH,001979.SZ,20190603,219140.551,21.48,791144.5559,0.276991795,0.3,5098135.518,0.4096811
31,000300.SH,300059.SZ,20190603,475805.0441,12.64,671560.8655,0.708506211,0.8,6790823.472,0.5457038
32,000300.SH,000661.SZ,20190603,13196.9369,316.22,17011.2265,0.775778096,0.8,4303432.035,0.3458195
33,000300.SH,603019.SH,20190603,66868.0378,38.38,90029.1206,0.742737876,0.8,2764254.119,0.2221327
34,000300.SH,600025.SH,20190603,180000,4.06,1800000,0.1,0.1,730800,0.0587264
35,000300.SH,002352.SZ,20190603,74676.2154,30.04,441832.6672,0.169014699,0.2,2654530.665,0.2133155
36,000300.SH,002081.SZ,20190603,128831.4329,9.81,267640.8689,0.481359343,0.5,1312778.462,0.1054936
37,000300.SH,002044.SZ,20190603,194924.082,12.93,312156.6956,0.624443059,0.7,2825330.252,0.2270407
38,000300.SH,603288.SH,20190603,74863.2946,102.91,270036.934,0.277233538,0.3,8336850.263,0.669941
39,000300.SH,000725.SZ,20190603,2354658.129,3.44,3479839.876,0.676657034,0.7,8379454.422,0.6733646
40,000300.SH,002601.SZ,20190603,60755.1283,15.44,203202.0889,0.2989887,0.3,941232.0758,0.0756365
41,000300.SH,601336.SH,20190603,70249.7025,51.8,311954.66,0.225192028,0.3,4847775.416,0.3895624
42,000300.SH,600704.SH,20190603,194330.1916,5.44,430668.2417,0.451229445,0.5,1171417.617,0.094134
43,000300.SH,600741.SH,20190603,131406.0855,20.72,315272.3984,0.416801744,0.5,3266222.047,0.2624704
44,000300.SH,002422.SZ,20190603,89960.9289,30.07,143978.606,0.624821502,0.7,3030605.678,0.2435365
45,000300.SH,002001.SZ,20190603,107822.8325,19.4,214866.23,0.501813768,0.6,2501042.917,0.2009813
46,000300.SH,600118.SH,20190603,57394.7959,23.15,118248.9135,0.485372713,0.5,1368731.174,0.1099899
47,000300.SH,300413.SZ,20190603,20567.8568,41.02,104728.0889,0.196392935,0.2,859189.2413,0.0690436
48,000300.SH,002024.SZ,20190603,317741.788,10.71,931003.9655,0.341289403,0.4,3988420.988,0.3205056
49,000300.SH,002050.SZ,20190603,110594.9082,10.13,276565.7898,0.399886437,0.4,1120644.58,0.0900539
50,000300.SH,600919.SH,20190603,594478.8832,7.28,1154445,0.514947774,0.6,5042615.76,0.4052196
51,000300.SH,000651.SZ,20190603,433843.9771,52.5,601573.0878,0.72118249,0.8,25266069.69,2.0303563
52,000300.SH,600566.SH,20190603,25132.5924,32.46,81492.1742,0.308404981,0.4,1058094.39,0.0850274
