,index_code,code,date,free_shares,close,total_shares,free_shares_pct,revised_free_shares_pct,revised_free_shares_value,weight
0,000905.SH,603486.SH,20190603,9547.304,42.57,40010,0.238622944,0.3,510967.71,0.1362766
1,000905.SH,002372.SZ,20190603,37953.5657,19.53,131092.749,0.289516895,0.3,768072.4164,0.2048471
2,000905.SH,002589.SZ,20190603,89642.7736,7.05,150471.0471,0.595747656,0.6,636492.5292,0.1697544
3,000905.SH,002273.SZ,20190603,64376.6476,11.3,86282.8913,0.746111386,0.8,779997.3374,0.2080275
4,000905.SH,600567.SH,20190603,305612.7277,3.38,458458.4837,0.666609385,0.7,1084712.772,0.289296
5,000905.SH,600167.SH,20190603,65865.9514,9.27,228811.9475,0.28786063,0.3,636326.026,0.16971
6,000905.SH,002573.SZ,20190603,58868.9455,7.64,108127.21,0.544441547,0.6,495655.1306,0.1321927
7,000905.SH,300418.SZ,20190603,52061.1227,12.98,115194.6216,0.451940568,0.5,747613.0942,0.1993906
8,000905.SH,000488.SZ,20190603,121385.8214,5.39,290460.82,0.417907728,0.5,782791.9099,0.2087729
9,000905.SH,600804.SH,20190603,116893.7912,7.28,143245.6499,0.816037285,1,1042828.331,0.2781253
10,000905.SH,002506.SZ,20190603,182864.4568,6.44,506505.58,0.361031475,0.4,1304758.374,0.3479828
11,000905.SH,002821.SZ,20190603,12234.0796,85.9,23140.9962,0.528675581,0.6,1192686.944,0.3180931
12,000905.SH,000883.SZ,20190603,184519.3527,4.13,650744.9486,0.283550957,0.3,806272.9913,0.2150353
13,000905.SH,002092.SZ,20190603,143184.6936,7.8,214644.9598,0.667076896,0.7,1171961.481,0.3125655
14,000905.SH,600282.SH,20190603,250833.6008,3.36,442485.5457,0.566874112,0.6,892050.8601,0.2379125
15,000905.SH,600649.SH,20190603,112232.5642,6.76,252957.5634,0.443681393,0.5,854996.5643,0.2280301
16,000905.SH,000990.SZ,20190603,24034.0469,17.12,125301.1919,0.191810202,0.2,429031.2811,0.1144239
17,000905.SH,600058.SH,20190603,40130.5789,9.03,107191.0711,0.374383598,0.4,387174.1488,0.1032605
18,000905.SH,002152.SZ,20190603,111759.0318,6.55,240899.3951,0.463924086,0.5,788945.519,0.2104141
19,000905.SH,002019.SZ,20190603,68216.6051,11.41,120697.4577,0.56518676,0.6,826294.7954,0.2203752
20,000905.SH,600879.SH,20190603,192996.638,6.13,271927.1284,0.709736609,0.8,1333530.638,0.3556565
21,000905.SH,300316.SZ,20190603,55920.6141,12.44,128462.8254,0.435305809,0.5,799038.774,0.213106
22,000905.SH,002051.SZ,20190603,45112.56,11.24,123740.8937,0.364572767,0.4,556339.0581,0.1483772
23,000905.SH,000975.SZ,20190603,80439.5743,10.69,198337.3047,0.405569565,0.5,1060112.894,0.2827352
24,000905.SH,000718.SZ,20190603,133299.3626,3.4,303463.6384,0.439259752,0.5,515888.1853,0.1375889
25,000905.SH,600500.SH,20190603,93002.374,6.99,208301.2671,0.446480116,0.5,728012.9285,0.1941632
26,000905.SH,600460.SH,20190603,76722.0065,16.97,131206.1614,0.58474393,0.6,1335941.135,0.3562994
27,000905.SH,000761.SZ,20190603,111065.6969,4.43,387537.1532,0.286593675,0.3,515036.8766,0.1373618
28,000905.SH,600643.SH,20190603,81961.1936,9.05,162192.2452,0.505333615,0.6,880703.8914,0.2348863
29,000905.SH,600875.SH,20190603,102288.3605,10.12,309080.3431,0.330944244,0.4,1251157.229,0.3336873
30,000905.SH,300287.SZ,20190603,103227.7774,4.33,143527.3808,0.719220102,0.8,497178.8471,0.132599
31,000905.SH,600985.SH,20190603,18069.9052,11.35,217241.2235,0.083178988,0.09,221911.9098,0.0591845
32,000905.SH,002128.SZ,20190603,57273.193,8.41,163437.8473,0.35042797,0.4,549804.9183,0.1466346
33,000905.SH,600143.SH,20190603,188903.6875,4.73,271678.4786,0.695320765,0.7,899527.4426,0.2399066
34,000905.SH,600335.SH,20190603,36506.1996,6.77,145687.5351,0.250578744,0.3,295891.3838,0.0789151
35,000905.SH,603355.SH,20190603,6193.0051,20.64,40100,0.15443903,0.2,165532.8,0.0441481
36,000905.SH,600376.SH,20190603,124804.1621,8.87,257956.5242,0.483818591,0.5,1144037.185,0.305118
37,000905.SH,600478.SH,20190603,110039.8532,5.5,165328.1386,0.665584541,0.7,636513.3336,0.1697599
38,000905.SH,000758.SZ,20190603,130456.1594,5.81,196937.8424,0.662423015,0.7,800946.205,0.2136147
39,000905.SH,002221.SZ,20190603,99111.263,8.33,164978.2824,0.600753393,0.7,961988.3647,0.2565651
40,000905.SH,002195.SZ,20190603,318887.2764,4.96,443879.0572,0.718410277,0.8,1761312.099,0.469747
41,000905.SH,000717.SZ,20190603,113601.152,4.44,241952.441,0.46951852,0.5,537134.419,0.1432553
42,000905.SH,600755.SH,20190603,120099.7745,8.26,181627.6115,0.661241832,0.7,1050170.85,0.2800836
43,000905.SH,600486.SH,20190603,17973.1272,50.49,30989.8907,0.579967428,0.6,938807.7489,0.2503827
44,000905.SH,002635.SZ,20190603,27512.1682,13.4,69031.7321,0.398543791,0.4,370010.0841,0.0986828
45,000905.SH,002512.SZ,20190603,60023.5717,4.84,109538.6132,0.547967241,0.6,318100.1327,0.0848382
46,000905.SH,600017.SH,20190603,154068.5515,3.04,307565.3888,0.500929419,0.6,560999.2692,0.1496201
47,000905.SH,601969.SH,20190603,29338.7314,5.27,195472.0314,0.15009171,0.2,206027.5211,0.0549481
48,000905.SH,600521.SH,20190603,64619.1256,13.59,125083.8638,0.516606408,0.6,1019933.825,0.2720193
49,000905.SH,000623.SZ,20190603,85036.0544,16.18,116302.9269,0.731160055,0.8,1505425.086,0.4015012
50,000905.SH,600120.SH,20190603,37450.2233,16.6,87438.8093,0.428302073,0.5,725742.1172,0.1935575
51,000905.SH,600597.SH,20190603,59218.4943,10.15,122448.7509,0.483618607,0.5,621427.4108,0.1657365
52,000905.SH,603515.SH,20190603,12778.6546,32.79,75606.3755,0.169015569,0.2,495826.6105,0.1322384
53,000905.SH,600827.SH,20190603,67962.6281,9.31,178416.8117,0.380920539,0.4,664424.2068,0.1772039
54,000905.SH,603501.SH,20190603,14053.5394,42.6,45570.394,0.308391878,0.4,776519.5138,0.2071
55,000905.SH,000778.SZ,20190603,239577.6033,4.42,399088.0176,0.600312695,0.7,1234778.326,0.329319
56,000905.SH,600499.SH,20190603,99548.3288,4.52,157720.5702,0.631168963,0.7,499027.8841,0.1330922
57,000905.SH,002503.SZ,20190603,115265.8303,3.72,309250.5396,0.372726368,0.4,460164.8029,0.1227273
58,000905.SH,002075.SZ,20190603,120669.8996,9.1,220677.1772,0.5468164,0.6,1204897.388,0.3213496
59,000905.SH,000543.SZ,20190603,98287.7989,4.63,179039.5978,0.548972407,0.6,497372.0027,0.1326506
60,000905.SH,000598.SZ,20190603,172661.3108,4.43,298621.8602,0.578193809,0.6,793736.9044,0.2116919
61,000905.SH,002064.SZ,20190603,100203.29,4.93,167680,0.597586415,0.6,495997.44,0.132284
62,000905.SH,603868.SH,20190603,4360,36.62,43560,0.100091827,0.11,175468.392,0.0467979
63,000905.SH,603650.SH,20190603,5880,23.57,58598.75,0.100343437,0.11,151928.9791,0.0405199
64,000905.SH,601326.SH,20190603,103178.9311,3.47,558741.2,0.184663188,0.2,387766.3928,0.1034184
65,000905.SH,300115.SZ,20190603,53543.1043,10.41,90986.0262,0.588476127,0.6,568298.7196,0.1515669
66,000905.SH,600611.SH,20190603,109013.029,4.64,236412.2864,0.461114059,0.5,548476.5044,0.1462803
67,000905.SH,000970.SZ,20190603,81834.6728,12.25,106520,0.76825641,0.8,1043896,0.2784101
68,000905.SH,002358.SZ,20190603,45196.0384,10.39,92975.6977,0.486105934,0.5,483008.7496,0.1288198
